comid,statistic,variable,year,month,value
2821742,mean,estimated,1980,1,13659.0314071725
2821742,mean,estimated,1980,2,19186.8868549788
2821742,mean,estimated,1980,3,12955.9564150139
2821742,mean,estimated,1980,4,11740.7914976224
2821742,mean,estimated,1980,5,10436.3068803753
2821742,mean,estimated,1980,6,7109.48922944416
2821742,mean,estimated,1980,7,5756.86263608383
2821742,mean,estimated,1980,8,5215.22226422236
2821742,mean,estimated,1980,9,2862.28192696065
2821742,mean,estimated,1980,10,2755.08615573272
2821742,mean,estimated,1980,11,1971.29550830059
2821742,mean,estimated,1980,12,3027.08561730393
2821742,mean,estimated,1981,1,4452.65469118243
2821742,mean,estimated,1981,2,5868.36425894312
2821742,mean,estimated,1981,3,4886.92012965226
2821742,mean,estimated,1981,4,5712.88533199333
2821742,mean,estimated,1981,5,3916.40400107738
2821742,mean,estimated,1981,6,2999.22829303579
2821742,mean,estimated,1981,7,2697.69333953653
2821742,mean,estimated,1981,8,3648.81169854906
2821742,mean,estimated,1981,9,1939.0058298636
2821742,mean,estimated,1981,10,2057.58694783727
2821742,mean,estimated,1981,11,3553.16235275814
2821742,mean,estimated,1981,12,5230.20441634639
2821742,mean,estimated,1982,1,7240.37965859591
2821742,mean,estimated,1982,2,9712.82022677402
2821742,mean,estimated,1982,3,14672.9443639394
2821742,mean,estimated,1982,4,20160.7029728795
2821742,mean,estimated,1982,5,14608.0382093689
2821742,mean,estimated,1982,6,9397.45108546474
2821742,mean,estimated,1982,7,6537.90342460405
2821742,mean,estimated,1982,8,5582.31521927336
2821742,mean,estimated,1982,9,4556.06355135615
2821742,mean,estimated,1982,10,5089.32638167739
2821742,mean,estimated,1982,11,7928.24280780975
2821742,mean,estimated,1982,12,8293.51415874404
2821742,mean,estimated,1983,1,14566.0470806805
2821742,mean,estimated,1983,2,19385.3338524865
2821742,mean,estimated,1983,3,28678.5720294496
2821742,mean,estimated,1983,4,20474.8475961097
2821742,mean,estimated,1983,5,16403.7802591106
2821742,mean,estimated,1983,6,9007.28580428004
2821742,mean,estimated,1983,7,6470.73251544561
2821742,mean,estimated,1983,8,5570.71713652559
2821742,mean,estimated,1983,9,4372.6167352652
2821742,mean,estimated,1983,10,4358.37087507805
2821742,mean,estimated,1983,11,6803.7690814505
2821742,mean,estimated,1983,12,8721.04150755808
2821742,mean,estimated,1984,1,9399.35942667244
2821742,mean,estimated,1984,2,8580.80543792922
2821742,mean,estimated,1984,3,7832.57488627369
2821742,mean,estimated,1984,4,6196.5068354638
2821742,mean,estimated,1984,5,4706.71711901497
2821742,mean,estimated,1984,6,2966.49817208991
2821742,mean,estimated,1984,7,4103.4437527989
2821742,mean,estimated,1984,8,5123.5221767078
2821742,mean,estimated,1984,9,2745.95194735287
2821742,mean,estimated,1984,10,2597.24924597962
2821742,mean,estimated,1984,11,3691.68579516807
2821742,mean,estimated,1984,12,4810.77124137558
2821742,mean,estimated,1985,1,3477.36756924421
2821742,mean,estimated,1985,2,4289.37874917508
2821742,mean,estimated,1985,3,4244.46656745343
2821742,mean,estimated,1985,4,4913.44231709817
2821742,mean,estimated,1985,5,2273.40968729816
2821742,mean,estimated,1985,6,2814.62786251996
2821742,mean,estimated,1985,7,3835.04262970195
2821742,mean,estimated,1985,8,4573.17408832345
2821742,mean,estimated,1985,9,2455.1748680639
2821742,mean,estimated,1985,10,2657.10306527257
2821742,mean,estimated,1985,11,3053.72412374153
2821742,mean,estimated,1985,12,4286.61879177941
2821742,mean,estimated,1986,1,3827.23837011377
2821742,mean,estimated,1986,2,23305.1009013515
2821742,mean,estimated,1986,3,17022.5370425992
2821742,mean,estimated,1986,4,14189.1728941605
2821742,mean,estimated,1986,5,9815.30124829628
2821742,mean,estimated,1986,6,6373.52099172355
2821742,mean,estimated,1986,7,4698.40685985315
2821742,mean,estimated,1986,8,4712.31792844854
2821742,mean,estimated,1986,9,2981.4020169515
2821742,mean,estimated,1986,10,2949.7225409449
2821742,mean,estimated,1986,11,1530.03774143009
2821742,mean,estimated,1986,12,2359.95366330073
2821742,mean,estimated,1987,1,2934.47970779042
2821742,mean,estimated,1987,2,3691.49393655218
2821742,mean,estimated,1987,3,3935.04412471428
2821742,mean,estimated,1987,4,4126.6404223388
2821742,mean,estimated,1987,5,2547.27187598647
2821742,mean,estimated,1987,6,2549.70514049539
2821742,mean,estimated,1987,7,2493.86588786213
2821742,mean,estimated,1987,8,3818.68308831075
2821742,mean,estimated,1987,9,1837.11513108994
2821742,mean,estimated,1987,10,1903.07558971901
2821742,mean,estimated,1987,11,1588.92235218709
2821742,mean,estimated,1987,12,3218.40631601624
2821742,mean,estimated,1988,1,3341.66994464784
2821742,mean,estimated,1988,2,5356.49019599896
2821742,mean,estimated,1988,3,3703.23187745801
2821742,mean,estimated,1988,4,3605.51995546915
2821742,mean,estimated,1988,5,2839.50407657455
2821742,mean,estimated,1988,6,2600.4570177907
2821742,mean,estimated,1988,7,2970.48165660106
2821742,mean,estimated,1988,8,3191.16824237841
2821742,mean,estimated,1988,9,1723.09312407709
2821742,mean,estimated,1988,10,1738.11457889
2821742,mean,estimated,1988,11,1867.30945199779
2821742,mean,estimated,1988,12,5015.42710464706
2821742,mean,estimated,1989,1,3470.63488012385
2821742,mean,estimated,1989,2,4471.88093543993
2821742,mean,estimated,1989,3,4416.34329860461
2821742,mean,estimated,1989,4,5019.10548178303
2821742,mean,estimated,1989,5,3484.58536274166
2821742,mean,estimated,1989,6,2832.47990838369
2821742,mean,estimated,1989,7,3575.65834517822
2821742,mean,estimated,1989,8,3966.98512344752
2821742,mean,estimated,1989,9,2119.55983379206
2821742,mean,estimated,1989,10,2814.65811772295
2821742,mean,estimated,1989,11,2614.17434355782
2821742,mean,estimated,1989,12,2796.96688144302
2821742,mean,estimated,1990,1,3031.54982729723
2821742,mean,estimated,1990,2,4205.20961209918
2821742,mean,estimated,1990,3,3616.6048625697
2821742,mean,estimated,1990,4,3414.793442211
2821742,mean,estimated,1990,5,3044.21735769418
2821742,mean,estimated,1990,6,2452.84906262813
2821742,mean,estimated,1990,7,2350.12960656694
2821742,mean,estimated,1990,8,3175.60533428981
2821742,mean,estimated,1990,9,867.478734295713
2821742,mean,estimated,1990,10,1239.34892830192
2821742,mean,estimated,1990,11,1139.53383598305
2821742,mean,estimated,1990,12,2220.78791170683
2821742,mean,estimated,1991,1,2477.28435203923
2821742,mean,estimated,1991,2,2903.47479186243
2821742,mean,estimated,1991,3,5622.40916298513
2821742,mean,estimated,1991,4,8030.22153474682
2821742,mean,estimated,1991,5,6332.76997060092
2821742,mean,estimated,1991,6,6284.82944125666
2821742,mean,estimated,1991,7,4436.7175358298
2821742,mean,estimated,1991,8,4491.22088175616
2821742,mean,estimated,1991,9,2156.79268643957
2821742,mean,estimated,1991,10,2501.04681353304
2821742,mean,estimated,1991,11,2894.42926664388
2821742,mean,estimated,1991,12,3064.77813771401
2821742,mean,estimated,1992,1,3162.11567089998
2821742,mean,estimated,1992,2,6856.57827583044
2821742,mean,estimated,1992,3,5110.61835587805
2821742,mean,estimated,1992,4,4847.70734654999
2821742,mean,estimated,1992,5,2322.51604160047
2821742,mean,estimated,1992,6,1861.34714192881
2821742,mean,estimated,1992,7,2112.19738574666
2821742,mean,estimated,1992,8,2548.2687789865
2821742,mean,estimated,1992,9,636.174094497181
2821742,mean,estimated,1992,10,1459.71796482467
2821742,mean,estimated,1992,11,1300.33129271725
2821742,mean,estimated,1992,12,4498.72535312257
2821742,mean,estimated,1993,1,12434.951191852
2821742,mean,estimated,1993,2,16269.7573989123
2821742,mean,estimated,1993,3,13266.3038507937
2821742,mean,estimated,1993,4,11425.8372662398
2821742,mean,estimated,1993,5,11629.5702001346
2821742,mean,estimated,1993,6,7818.96671207609
2821742,mean,estimated,1993,7,6475.46500342947
2821742,mean,estimated,1993,8,5878.0975034548
2821742,mean,estimated,1993,9,3478.71309046141
2821742,mean,estimated,1993,10,2858.94986824967
2821742,mean,estimated,1993,11,3148.5212986125
2821742,mean,estimated,1993,12,3671.42078048199
2821742,mean,estimated,1994,1,3448.49107865478
2821742,mean,estimated,1994,2,4228.95105387625
2821742,mean,estimated,1994,3,3925.93730567201
2821742,mean,estimated,1994,4,3341.9343302165
2821742,mean,estimated,1994,5,2730.890153963
2821742,mean,estimated,1994,6,2365.26214984082
2821742,mean,estimated,1994,7,2359.39372263409
2821742,mean,estimated,1994,8,2835.05742014031
2821742,mean,estimated,1994,9,857.196179278524
2821742,mean,estimated,1994,10,1475.82601168246
2821742,mean,estimated,1994,11,2296.43864895789
2821742,mean,estimated,1994,12,2980.09901375556
2821742,mean,estimated,1995,1,14249.1666697535
2821742,mean,estimated,1995,2,10291.2881636751
2821742,mean,estimated,1995,3,21850.3450619634
2821742,mean,estimated,1995,4,18791.9808360308
2821742,mean,estimated,1995,5,15918.8731713513
2821742,mean,estimated,1995,6,10845.4667530031
2821742,mean,estimated,1995,7,7892.46470299017
2821742,mean,estimated,1995,8,5859.21399646166
2821742,mean,estimated,1995,9,4162.84891349206
2821742,mean,estimated,1995,10,3145.28564600667
2821742,mean,estimated,1995,11,2754.11106998992
2821742,mean,estimated,1995,12,5886.68207497542
2821742,mean,estimated,1996,1,6387.22290822563
2821742,mean,estimated,1996,2,15973.6910239474
2821742,mean,estimated,1996,3,10514.5674977594
2821742,mean,estimated,1996,4,10091.550379896
2821742,mean,estimated,1996,5,12276.1617741593
2821742,mean,estimated,1996,6,7682.60354419337
2821742,mean,estimated,1996,7,5799.11917831168
2821742,mean,estimated,1996,8,5651.40869714893
2821742,mean,estimated,1996,9,2947.17921877691
2821742,mean,estimated,1996,10,2904.94405853417
2821742,mean,estimated,1996,11,4287.19406053272
2821742,mean,estimated,1996,12,10228.187888653
2821742,mean,estimated,1997,1,25231.2772776458
2821742,mean,estimated,1997,2,15278.767056764
2821742,mean,estimated,1997,3,14501.5595254794
2821742,mean,estimated,1997,4,10288.4032463283
2821742,mean,estimated,1997,5,8571.01295657761
2821742,mean,estimated,1997,6,5568.94261176223
2821742,mean,estimated,1997,7,5145.89258090808
2821742,mean,estimated,1997,8,5599.61101827574
2821742,mean,estimated,1997,9,2268.03210023495
2821742,mean,estimated,1997,10,2321.78035174423
2821742,mean,estimated,1997,11,2954.20504607076
2821742,mean,estimated,1997,12,3713.92063754303
2821742,mean,estimated,1998,1,8969.79529524878
2821742,mean,estimated,1998,2,22950.3046967086
2821742,mean,estimated,1998,3,15997.3443189673
2821742,mean,estimated,1998,4,14710.3245056645
2821742,mean,estimated,1998,5,14549.6447379152
2821742,mean,estimated,1998,6,10551.6998200507
2821742,mean,estimated,1998,7,7014.34728948284
2821742,mean,estimated,1998,8,6068.42578025413
2821742,mean,estimated,1998,9,4158.98895416371
2821742,mean,estimated,1998,10,3322.43981940154
2821742,mean,estimated,1998,11,2962.02968397575
2821742,mean,estimated,1998,12,3938.1118948093
2821742,mean,estimated,1999,1,5331.08314369527
2821742,mean,estimated,1999,2,8277.24460534562
2821742,mean,estimated,1999,3,6356.23728243697
2821742,mean,estimated,1999,4,5775.35107256963
2821742,mean,estimated,1999,5,3688.0433117048
2821742,mean,estimated,1999,6,3092.8650616512
2821742,mean,estimated,1999,7,3311.25844513956
2821742,mean,estimated,1999,8,4150.38099598972
2821742,mean,estimated,1999,9,1992.63447436765
2821742,mean,estimated,1999,10,2058.25643318398
2821742,mean,estimated,1999,11,2058.06673357338
2821742,mean,estimated,1999,12,2926.73848423094
2821742,mean,estimated,2000,1,7907.31270084408
2821742,mean,estimated,2000,2,18996.2754782996
2821742,mean,estimated,2000,3,9897.31372274972
2821742,mean,estimated,2000,4,8506.37923778368
2821742,mean,estimated,2000,5,8983.33508904147
2821742,mean,estimated,2000,6,5993.79092717556
2821742,mean,estimated,2000,7,4533.12786644709
2821742,mean,estimated,2000,8,4932.76655175533
2821742,mean,estimated,2000,9,1944.1843428669
2821742,mean,estimated,2000,10,2168.9943283048
2821742,mean,estimated,2000,11,2263.37536448523
2821742,mean,estimated,2000,12,2479.49507476853
